frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=109.921181, y=-7.798035, z=0.001679)",-0.27688395977020264,-0.0052859908901154995,0.0,0.0036590739618986845,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.03015673225308642,0.0012471064814814814,0.0
1.0,1.0000000149011612,"Location(x=109.921188, y=-7.796494, z=0.001679)",-0.10706239193677902,-0.0045173694379627705,0.0,0.0036590739618986845,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.027412712191358025,0.0031061921296296298,0.0
2.0,2.0000000298023224,"Location(x=109.926552, y=-8.296142, z=0.001490)",1.649948239326477,1.5706532001495361,0.47207632660865784,0.0036590739618986845,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.021710551697530864,0.0037485532407407407,0.0
3.0,3.0000000447034836,"Location(x=109.964020, y=-11.257195, z=0.001456)",3.294452428817749,4.35256290435791,0.6212635636329651,0.0036590739618986845,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.006993634259259259,0.0
4.0,4.000000059604645,"Location(x=110.038277, y=-16.742666, z=0.001649)",3.2089977264404297,6.652220726013184,0.625036358833313,-0.0184316523373127,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04693383487654321,0.0
5.0,5.000000074505806,"Location(x=109.805847, y=-24.924513, z=0.001585)",3.737473726272583,9.86400032043457,0.7114331722259521,-0.03828773647546768,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6.0,6.000000089406967,"Location(x=107.880135, y=-36.249943, z=0.001626)",2.7883119583129883,13.011109352111816,0.7114331722259521,-0.05918455868959427,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7.0,7.000000104308128,"Location(x=102.032852, y=-49.233528, z=0.001672)",2.1782495975494385,15.457103729248047,0.7114331722259521,-0.09305283427238464,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0011887538580246913,0.0,0.0
8.0,8.00000011920929,"Location(x=90.123093, y=-60.381821, z=0.001702)",1.833512306213379,17.357820510864258,0.7010460495948792,-0.060970157384872437,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0021339699074074073,0.0,0.00013117283950617284
9.0,9.00000013411045,"Location(x=73.309792, y=-67.114632, z=0.001714)",1.9756635427474976,19.002792358398438,0.8002168536186218,-0.05611959472298622,0.0,False,1,92.41627216339111,0,1,92.6092301607132,2.0027235336783633e-07,1,98.91962432861328,3,3,3,3,3,3,3,3,1,1,1,0.005889756944444445,0.0,0.00014130015432098765
10.0,10.000000149011612,"Location(x=51.174217, y=-67.993195, z=0.001455)",5.176368713378906,23.465829849243164,0.9457942843437195,-0.0026519838720560074,0.0,False,1,71.45116901397705,0,1,71.69530498981476,1.9073501889010913e-08,1,77.9544448852539,3,3,3,3,3,3,3,1,1,1,1,0.014526427469135803,0.0,0.00017312885802469135
11.0,11.000000163912773,"Location(x=26.506689, y=-66.388176, z=0.001495)",4.21242618560791,28.16507911682129,0.8002168536186218,0.011749808676540852,0.0,False,1,45.64086627960205,0,1,81.10210537910461,8.011218070983887,1,52.14045715332031,3,3,3,3,3,3,1,1,1,1,1,0.011005979938271605,0.0,0.0003206983024691358
12.0,12.000000178813934,"Location(x=1.091802, y=-67.057472, z=0.002486)",-9.551151275634766,21.182680130004883,0.0,-0.01712203398346901,0.6547006368637085,False,1,20.220080375671387,0,1,20.470630764961243,2.2888184503244702e-07,1,26.72212791442871,3,3,3,3,3,1,1,1,1,1,1,0.01740113811728395,0.0,0.0009047067901234568
13.0,13.000000193715096,"Location(x=-15.221017, y=-67.219063, z=0.002472)",-8.125974655151367,11.893167495727539,0.0,0.025887738913297653,0.9984008073806763,False,1,3.94101619720459,0,1,4.40902054309845,5.7221232196980054e-08,1,10.434375762939453,3,3,3,3,1,1,1,1,1,1,1,0.0657836612654321,0.0,0.0022275270061728396
14.0,14.000000208616257,"Location(x=-19.067173, y=-67.509468, z=0.001441)",-0.004601604770869017,0.004433530382812023,0.0,0.028743263334035873,0.901547908782959,False,1,0.09748649597167969,0.005097572226077318,0,100,0,1,6.578901290893555,3,3,3,1,1,1,1,1,1,1,1,0.23607976466049382,0.0,0.002142168209876543
