frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0,0,"Location(x=-41.254398, y=58.113274, z=-0.007789)",0,0,0,-0.001309205,0,FALSE,1,6.622309566,0.198510319,1,3.800519466,0.476615459,1,9.847270012,1,1,1,1,1,1,1,1,1,1,2,0.081043596,0.00209973,0.002485532
1,1.000000015,"Location(x=-41.254398, y=58.113274, z=-0.007789)",0,0,0,-0.001309205,0,FALSE,1,8.054283023,2.825002909,1,6.769606113,3.749480486,1,9.847270012,1,1,1,1,1,1,1,1,1,2,2,0.03966387,0.002031732,0.00248939
2,2.00000003,"Location(x=-41.254398, y=58.113274, z=-0.007789)",0,0,0,-0.001309205,0,FALSE,1,11.76777542,3.978982687,1,10.8623023,4.69015789,1,9.847270012,1,1,1,1,1,1,1,1,2,2,3,0.018913484,0.002048611,0.002485532
3,3.000000045,"Location(x=-41.254364, y=58.110321, z=-0.007847)",0.124329261,0.023639111,0.605768502,-0.001309205,0,FALSE,1,16.54054439,5.941538334,1,15.90255594,7.07308054,1,9.844321251,1,1,1,1,1,1,1,2,2,3,3,0.011159336,0.002040413,0.002532793
4,4.00000006,"Location(x=-41.294212, y=57.265915, z=-0.009468)",1.986545324,1.772556663,0.65834552,-0.001275635,0,FALSE,1,23.22980869,7.850750923,1,23.10129786,8.136742592,1,8.998988152,1,1,1,1,1,1,2,2,3,3,3,0.007525559,0.001946856,0.002709298
5,5.000000075,"Location(x=-41.414463, y=54.659870, z=-0.008919)",1.281213999,3.3179636,0.639982164,0.001141358,0,FALSE,1,28.54318225,7.974737167,1,28.52480745,8.021002769,1,6.39020586,1,1,1,1,1,2,2,3,3,3,3,0.005740741,0.002990934,0.003316454
6,6.000000089,"Location(x=-41.588329, y=50.732349, z=-0.008679)",0.956754327,4.480178356,0.625036359,0.001141358,0,FALSE,1,32.63854265,8.046205521,1,32.55968845,7.967483521,1,2.458935261,1,1,1,1,2,2,3,3,3,3,3,0.003428819,0.005081019,0.004846644
7,7.000000104,"Location(x=-41.790176, y=45.851830, z=-0.008013)",0.500075102,5.177714825,0.643682837,0.003121958,0,FALSE,1,35.79754305,8.040904999,1,35.63095462,7.965906143,1,0,1,1,1,2,2,3,3,3,3,3,3,0.00305218,0.00824267,0.004928627
8,8.000000119,"Location(x=-41.981831, y=40.221939, z=-0.011408)",4.29546833,7.343211651,0.768275976,0.005236864,0,FALSE,1,38.20850801,8.042020798,1,37.96139133,7.966253281,0,100,0,0,0,0,0,0,0,0,0,0,0,0.002756559,0.006746721,0.007060667
9,9.000000134,"Location(x=-42.153137, y=31.677153, z=-0.009445)",2.298480749,9.6397295,0.751901269,0.005236864,0,FALSE,1,37.7084012,8.011834145,1,37.38988483,7.966243267,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001848958,0,0.005356385
10,10.00000015,"Location(x=-42.152435, y=21.102158, z=-0.009083)",1.624380708,11.43237972,0.751901269,0.002416997,0,FALSE,1,34.76826465,7.660135269,1,35.07157564,7.457684517,1,63.56505966,3,3,3,3,3,3,3,3,3,3,3,0.00272039,0,0.000301408
11,11.00000016,"Location(x=-41.984135, y=8.539112, z=-0.009455)",1.617914915,13.79766273,0.707983136,0.001107789,0,FALSE,1,29.35805118,6.610327244,1,29.54806185,6.549814701,1,51.00112152,3,3,3,3,3,3,3,3,3,3,3,0.007338927,0,0.00043017
12,12.00000018,"Location(x=-41.738464, y=-5.007053, z=-0.004617)",-6.883152485,12.11571503,0,-0.000369263,0.031522881,FALSE,1,22.08008754,5.747211456,1,22.1266675,5.655578613,1,37.45396423,3,3,3,3,3,3,3,3,3,3,3,0.004831694,0,0.000801987
13,13.00000019,"Location(x=-41.587074, y=-13.509927, z=-0.002441)",-9.805325508,5.555810928,0,-0.000369263,0,FALSE,1,18.97111177,4.999432564,0,100,0,1,28.95105171,3,3,3,3,3,3,3,3,3,3,3,0.006805073,0,0.00123505
14,14.00000021,"Location(x=-41.526997, y=-17.121336, z=-0.007371)",-0.293447107,3.067860126,0.476545155,-0.000268555,0,FALSE,1,18.07921457,0.004641344,1,18.99056804,0.292944491,1,25.33987045,3,3,3,3,3,3,3,3,3,3,1,0.007852045,0.001724055,0.001520544
15,15.00000022,"Location(x=-41.477104, y=-20.200058, z=-0.007891)",0.710947514,3.118975639,0.63253808,-0.000268555,0,FALSE,1,15.00232363,0,1,15.96908939,0,1,22.26152039,3,3,3,3,3,3,3,3,3,1,1,0.011575039,0.002218364,0.001883681
16,16.00000024,"Location(x=-41.420460, y=-23.784529, z=-0.006674)",-3.162359715,3.431384087,0,-0.000268555,0,FALSE,1,11.41860056,0,1,12.47413051,0,1,18.67778397,3,3,3,3,3,3,3,3,1,1,1,0.016640143,0.004992284,0.002505787
17,17.00000025,"Location(x=-41.388519, y=-25.850660, z=-0.006424)",-1.311575055,1.113626838,0,-0.000268555,0,FALSE,1,9.353162289,0,1,10.47962177,0,1,16.61229706,3,3,3,3,3,3,3,1,1,1,1,0.023079186,0.007414159,0.002989969
18,18.00000027,"Location(x=-41.378441, y=-26.511135, z=-0.007359)",-0.417564481,0.354800016,0,-0.000268555,0,FALSE,1,8.692969799,0,1,9.846505046,0,1,15.95207596,3,3,3,3,3,3,1,1,1,1,1,0.026048418,0.008515625,0.003196373
19,19.00000028,"Location(x=-41.375225, y=-26.721586, z=-0.007652)",-0.133062303,0.113080539,0,-0.000268555,0,FALSE,1,8.482616901,0,1,9.645325541,0,1,15.74171162,3,3,3,3,3,1,1,1,1,1,1,0.027039931,0.008883584,0.003273052
20,20.0000003,"Location(x=-41.374580, y=-26.765158, z=-0.007761)",-0.000315369,0,0,-0.000268555,0,FALSE,1,8.43906641,0,1,9.60370338,0,1,15.69815826,3,3,3,3,1,1,1,1,1,1,1,0.027864583,0.008953993,0.003208912
21,21.00000031,"Location(x=-41.374580, y=-26.765184, z=-0.007788)",0,0,0,-0.000268555,0,FALSE,1,8.439038754,0,1,9.60367763,0,1,15.69813156,3,3,3,1,1,1,1,1,1,1,1,0.027640336,0.008950617,0.003201196
22,22.00000033,"Location(x=-41.374580, y=-26.765184, z=-0.007788)",0,0,0,-0.000268555,0,FALSE,1,8.439038754,0,1,9.60367763,0,1,15.69813156,3,3,1,1,1,1,1,1,1,1,1,0.026827739,0.008950617,0.003201196
23,23.00000034,"Location(x=-41.374580, y=-26.765184, z=-0.007788)",0,0,0,-0.000268555,0,FALSE,1,8.439038754,0,1,9.60367763,0,1,15.69813156,3,1,1,1,1,1,1,1,1,1,1,0.026837867,0.007588735,0.003201196
24,24.00000036,"Location(x=-41.374580, y=-26.765184, z=-0.007788)",0,0,0,-0.000268555,0,FALSE,1,8.44273138,0.083620481,1,9.605727077,0.059377715,1,15.69813156,1,1,1,1,1,1,1,1,1,1,2,0.025122492,0.008815104,0.003201196
25,25.00000037,"Location(x=-41.374580, y=-26.765184, z=-0.007788)",0,0,0,-0.000268555,0,FALSE,1,10.47728586,4.684627533,1,10.59127605,2.344169617,1,15.69813156,1,1,1,1,1,1,1,1,1,2,2,0.019908854,0.008950617,0.003201196
26,26.00000039,"Location(x=-41.371120, y=-27.017519, z=-0.009779)",2.627798557,1.111705422,0.825031579,-0.002416997,0,FALSE,0,100,0,1,13.7491492,4.205462456,1,15.44589901,1,1,1,1,1,1,1,1,2,2,3,0.01053289,0.009434799,0.003323206
27,27.0000004,"Location(x=-41.336498, y=-29.696499, z=-0.010075)",2.750785351,4.092119217,0.809597135,-0.001510621,0,FALSE,0,100,0,1,16.49836719,7.322001934,1,12.76824665,1,1,1,1,1,1,1,2,2,3,3,0.008631848,0.014873167,0.004403935
28,28.00000042,"Location(x=-41.282631, y=-35.058640, z=-0.010256)",-1.658496022,6.577757835,0,-0.001309205,0,FALSE,0,100,0,1,19.16674793,8.026284218,1,7.411351204,1,1,1,1,1,1,2,2,3,3,3,0.008410976,0.02232446,0.005443673
29,29.00000043,"Location(x=-41.242420, y=-39.699268, z=-0.004052)",-2.615147829,2.334463835,0.467586786,0.016584773,0,FALSE,0,100,0,1,22.39895618,7.98651123,1,2.791448832,1,1,1,1,1,2,2,3,3,3,3,0.00648968,0.019733314,0.010415702
30,30.00000045,"Location(x=-41.124531, y=-42.802696, z=-0.010190)",2.921170712,4.418713093,0.831137121,0.036808603,0,FALSE,0,100,0,0,100,0,1,0,1,1,1,1,2,2,3,3,3,3,3,0.005688175,0.018414834,0.012242959
31,31.00000046,"Location(x=-40.238541, y=-48.569954, z=-0.009375)",0.413023949,7.237641811,0.582073569,0.134782612,0,FALSE,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001805073,0.038124518,0.002752701
32,32.00000048,"Location(x=-36.576824, y=-54.959221, z=-0.007722)",0.182161331,7.664321423,0.597934484,0.18006146,0,FALSE,1,80.26893497,8.030721664,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.005716146,0.047616223,0
33,33.00000049,"Location(x=-29.869341, y=-58.564579, z=-0.007197)",-0.299716413,7.762735367,0.557768166,0.185507938,0,FALSE,0,100,0,1,34.71546602,8.072174072,0,100,0,0,0,0,0,0,0,0,0,0,0,0.003482832,0.218707079,0
34,34.00000051,"Location(x=-22.043118, y=-58.678093, z=-0.007952)",0.343986601,8.017203331,0.590036511,-0.017189194,0,FALSE,1,34.93455935,8.071509361,1,81.64761996,8.015472412,0,100,0,0,0,0,0,0,0,0,0,0,0,0.032573785,0.036039255,0
35,35.00000052,"Location(x=-13.079547, y=-58.668194, z=-0.010414)",1.382823706,10.50253773,0.3976174,-0.008023243,0,FALSE,1,34.01278353,8.071751595,1,80.66872287,8.034198761,0,100,0,0,0,0,0,0,0,0,0,0,0,0.006083623,0.000265721,0
36,36.00000054,"Location(x=-4.353119, y=-58.712803, z=-0.004176)",-2.034481525,6.616565704,0.704520822,0.015476699,0,FALSE,1,33.32977343,8.071698189,1,79.64381289,8.022727013,0,100,0,0,0,0,0,0,0,0,0,0,0,0.012979842,0.000401717,0
37,37.00000055,"Location(x=3.568364, y=-58.360508, z=-0.011435)",4.605398655,10.05357361,0.980312049,0.005841131,0,FALSE,1,33.43940401,8.07164669,1,78.86872745,8.02458477,0,100,0,0,0,0,0,0,0,0,0,0,0,0.00239294,0.000559896,0
38,38.00000057,"Location(x=15.940287, y=-57.597061, z=-0.011296)",4.214933872,14.74516487,1,-0.00715039,0,FALSE,1,29.09796953,8.071771622,1,72.9604938,8.031186104,0,100,0,0,0,0,0,0,0,0,0,0,0,0.005755691,0.000993924,0
39,39.00000058,"Location(x=32.518036, y=-57.014355, z=-0.010655)",3.284718037,18.42316628,0.91280061,-0.008056815,0,FALSE,1,20.56495142,8.071624756,1,62.32366061,8.022062302,0,100,0,0,0,0,0,0,0,0,0,0,0,0.002591146,0.002309992,0
40,40.0000006,"Location(x=49.950832, y=-56.999405, z=-0.001112)",-9.79703331,14.63784504,0,-0.000402832,0.840223789,FALSE,1,11.16837358,8.075324059,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.007207755,0.016164159,0
41,41.00000061,"Location(x=60.174194, y=-57.055878, z=-0.000721)",-4.374902725,6.120196342,0,0.007855386,0.223117679,FALSE,1,8.924499989,8.066606522,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.011349826,0,0
42,42.00000063,"Location(x=64.455055, y=-56.966751, z=-0.008070)",1.58059907,3.634902239,0.761759281,0.028306507,0,FALSE,1,12.50546503,8.061662674,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.008020351,0,0
43,43.00000064,"Location(x=69.487373, y=-56.492981, z=-0.012036)",4.87981987,7.053827286,0.864045799,0.044676907,0,FALSE,1,15.24980974,8.060704231,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.007006655,0,0
44,44.00000066,"Location(x=78.312698, y=-54.445671, z=-0.010264)",3.031247854,10.72521019,0.858145058,0.064980753,0,FALSE,1,14.23958635,8.07717514,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.010654417,0,0
