frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=106.427177, y=-16.658390, z=0.001749)",-0.8699325323104858,2.3170762062072754,0.0,-0.0027862621936947107,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001492091049382716,0.0,0.0
1.0,1.0000000149011612,"Location(x=106.426552, y=-18.542877, z=0.001702)",0.7237212657928467,1.625695824623108,0.295663982629776,-0.0027862621936947107,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0016280864197530864,0.0,0.0
2.0,2.0000000298023224,"Location(x=106.420319, y=-20.930725, z=0.001535)",2.043964147567749,3.313197612762451,0.4262150526046753,-0.0027862621936947107,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.002056809413580247,0.0,0.0
3.0,3.0000000447034836,"Location(x=106.223175, y=-25.253313, z=0.001923)",-0.8765650987625122,5.02183198928833,0.47207632660865784,-0.030960815027356148,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.00359375,0.0,0.0
4.0,4.000000059604645,"Location(x=105.551414, y=-30.916239, z=0.001752)",-0.18192782998085022,6.343554496765137,0.45854470133781433,-0.06518302857875824,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,4.1956018518518515e-05,0.0,0.0
5.0,5.000000074505806,"Location(x=103.854179, y=-37.610973, z=0.001773)",-0.1941031813621521,7.406504154205322,0.46307632327079773,-0.0826336070895195,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0001253858024691358,0.0,0.0
6.0,6.000000089406967,"Location(x=100.498825, y=-44.747349, z=0.001788)",-0.12292169779539108,8.308388710021973,0.46307632327079773,-0.08777319639921188,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001048900462962963,0.0,0.0
7.0,7.000000104308128,"Location(x=95.142136, y=-51.560673, z=0.001809)",0.5103065967559814,8.971264839172363,0.46307632327079773,-0.08287020027637482,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001197434413580247,0.0006394675925925926,7.282021604938271e-05
8.0,8.00000011920929,"Location(x=87.970222, y=-57.390686, z=0.001806)",0.49718981981277466,9.526996612548828,0.46307632327079773,-0.05369531363248825,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0012297453703703704,0.0011762152777777778,0.00011863425925925926
9.0,9.00000013411045,"Location(x=79.466843, y=-61.906597, z=0.001872)",-0.5485818982124329,9.56699275970459,0.35810378193855286,-0.08479709923267365,0.0,False,0,100,0,1,91.74532294273376,5.607443809509277,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001355613425925926,0.0009104938271604938,0.0001408179012345679
10.0,10.000000149011612,"Location(x=70.043961, y=-64.003906, z=0.001894)",-0.6424121856689453,8.926180839538574,0.34797292947769165,-0.08327580988407135,0.0,False,1,87.09858679771423,4.818859100341797,0,100,0,1,96.09941864013672,3,3,3,3,3,3,3,3,3,3,3,0.0020355902777777777,0.0006611689814814814,0.00012297453703703702
11.0,11.000000163912773,"Location(x=61.835316, y=-64.188576, z=0.001879)",-0.45872050523757935,8.415610313415527,0.34797292947769165,-0.0047668819315731525,0.0,False,1,81.26291632652283,0.41686487197875977,0,100,0,1,87.4455795288086,3,3,3,3,3,3,3,3,3,3,3,0.004658564814814815,0.0013131751543209876,0.00015239197530864197
12.0,12.000000178813934,"Location(x=53.635803, y=-64.196510, z=0.001872)",-0.37612366676330566,8.001371383666992,0.34797292947769165,-0.00214844080619514,0.0,False,1,73.07906317710876,0.0002253080456284806,0,100,0,1,79.24620056152344,3,3,3,3,3,3,3,3,3,3,1,0.016374421296296297,0.004657118055555556,0.00017361111111111112
13.0,13.000000193715096,"Location(x=45.811924, y=-64.152832, z=0.001867)",-0.3100566565990448,7.661035537719727,0.34797292947769165,-0.006277548149228096,0.0,False,1,65.26946997642517,0,1,91.3463488817215,7.976981163024902,1,71.42290496826172,3,3,3,3,3,3,3,3,3,1,1,0.0038773148148148148,0.11659239969135803,0.00021026234567901234
14.0,14.000000208616257,"Location(x=38.298988, y=-64.003235, z=0.001863)",-0.25663402676582336,7.379756927490234,0.34797292947769165,0.0012084966292604804,0.0,False,1,57.7809636592865,0,1,89.73927795886993,7.894123554229736,1,63.911869049072266,3,3,3,3,3,3,3,1,1,1,1,0.0035305748456790124,0.0003578317901234568,0.00024402006172839506
15.0,15.000000223517418,"Location(x=31.036722, y=-63.919285, z=0.001855)",-0.12746001780033112,7.173861980438232,0.35810378193855286,0.008191101253032684,0.0,False,1,50.54421591758728,0,1,90.13247406482697,7.904925346374512,1,56.6513671875,3,3,3,3,3,3,1,1,1,1,1,0.0070510223765432095,0.0004769483024691358,0.0003028549382716049
16.0,16.00000023841858,"Location(x=23.920692, y=-63.996651, z=0.001851)",-0.09932084381580353,7.064560413360596,0.35810378193855286,0.0034240856766700745,0.0,False,1,43.446441411972046,0,1,90.88921082019806,7.929353713989258,1,49.53498077392578,3,3,3,3,3,1,1,1,1,1,1,0.0212061149691358,0.0006462191358024692,0.0003505979938271605
