frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0,609.5500091,"Location(x=-58.650642, y=129.100266, z=0.001944)",-2.77832365,12.80619049,0.132041946,0.018364491,0,FALSE,1,27.00639415,7.966841698,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001753472,0,0
1,610.5500091,"Location(x=-69.599716, y=127.189812, z=0.002060)",-2.383017302,9.621149063,0.157172695,0.06595844,0,FALSE,1,23.3611877,7.958707333,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.002373167,0,0
2,611.5500091,"Location(x=-77.929771, y=124.240311, z=0.001778)",1.750122428,8.955681801,0.561859071,0.091021612,0,FALSE,1,22.30304408,7.950113773,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.003263407,0,0
3,612.5500091,"Location(x=-86.243996, y=119.110886, z=0.001714)",1.934002876,10.67431164,0.593993545,0.09054777,0,FALSE,1,20.59638476,7.970996857,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.003529128,0,8.15E-05
4,613.5500091,"Location(x=-94.248291, y=110.070961, z=0.001737)",1.512302399,12.28084373,0.593993545,0.083444826,0,FALSE,1,17.17504001,7.972999096,0,100,0,1,61.2499733,3,3,3,3,3,3,1,1,1,1,1,0.00455054,0.001095197,0.000186632
5,614.5500092,"Location(x=-99.286873, y=99.318184, z=0.001944)",-1.329324484,12.06849384,0.337734908,0.040338632,0,FALSE,1,12.58107066,7.954466343,1,43.02006006,0,1,49.38378525,3,3,3,3,3,1,1,1,1,1,1,0.006547068,0.001015625,0.000313947
6,615.5500092,"Location(x=-102.073570, y=87.930328, z=0.001984)",-1.726689816,10.35100555,0.234635413,0.046728913,0,FALSE,1,9.224875212,7.965274811,1,31.84976816,0,1,38.34019852,3,3,3,3,1,1,1,1,1,1,1,0.01070843,0.00163532,0.00030816
7,616.5500092,"Location(x=-102.860298, y=79.030731, z=0.001950)",-1.030725121,8.700404167,0.262843907,0.019439094,0,FALSE,1,7.494267225,7.317656994,1,22.42087603,0,1,28.90477943,3,3,3,1,1,1,1,1,1,1,1,0.016134259,0.003694541,0.000440297
8,617.5500092,"Location(x=-103.065338, y=70.582832, z=0.001920)",-0.63867557,7.550304413,0.262843907,0.004296902,0,FALSE,1,5.748347998,3.953979969,1,14.45702219,0,1,20.8300972,3,3,1,1,1,1,1,1,1,1,1,0.028384934,0.013875386,0.00041522
9,618.5500092,"Location(x=-103.110802, y=64.827805, z=0.002778)",-26.5366497,0.587387502,0,0.001242066,0.613539577,FALSE,1,3.174230814,3.334085226,1,8.531106472,0,1,14.70277977,3,1,1,1,1,1,1,1,1,1,1,0.067873264,0.053467882,0.000907118
10,619.5500092,"Location(x=-103.110840, y=64.821510, z=0.001684)",0,0,0,0.001242066,0.378052771,FALSE,1,5.627172232,0.004016942,1,8.637679577,0.784801424,1,14.69649029,1,1,1,1,1,1,1,1,1,1,2,0.036921779,0.047091049,0.000875289
11,620.5500092,"Location(x=-103.110840, y=64.821495, z=0.001679)",0,0,0,0.001242066,0,FALSE,1,5.645167112,0.090131365,1,11.35369539,5.127126694,1,14.69647503,1,1,1,1,1,1,1,1,1,2,2,0.032844811,0.005203511,0.000707465
12,621.5500093,"Location(x=-103.110840, y=64.821495, z=0.001679)",0,0,0,0.001242066,0,FALSE,1,7.272610426,3.231466055,1,15.52238131,4.732159615,1,14.69647503,1,1,1,1,1,1,1,1,2,2,3,0.043599537,0.013819444,0.00071711
13,622.5500093,"Location(x=-103.110741, y=64.791191, z=0.001597)",3.034910679,0.25255996,0.476545155,0.01268989,0,FALSE,1,11.68746352,4.591852665,1,20.39131784,6.436576843,1,14.68211365,1,1,1,1,1,1,1,2,2,3,3,0.008906732,0.039334491,0.000913387
14,623.5500093,"Location(x=-103.082565, y=62.683952, z=0.001394)",3.835866213,3.774882078,0.636267304,0.017491408,0,FALSE,1,14.20909953,4.162561893,1,26.37837458,7.699762344,1,12.75701904,1,1,1,1,1,1,2,2,3,3,3,0.007089603,0.02506414,0.00088831
