frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.0005371094448491931,0.0,False,1,3.27726411819458,0,1,4.649656057357788,8.008851892782332e-08,1,10.366899490356445,3,3,3,3,3,1,1,1,1,1,1,0.05078462577160494,0.12901765046296296,0.0008801118827160494
1.0,1.0000000149011612,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.005371145438402891,0.0,False,1,3.27726411819458,0,1,4.649656057357788,1.879014988048766e-08,1,10.366899490356445,3,3,3,3,1,1,1,1,1,1,1,0.05416425540123457,0.12407407407407407,0.0008801118827160494
2.0,2.0000000298023224,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.009936850517988205,0.0,False,1,3.27726411819458,0,1,4.649656057357788,7.805280688444327e-07,1,10.366899490356445,3,3,3,1,1,1,1,1,1,1,1,0.05820842978395062,0.11563802083333333,0.0008801118827160494
3.0,3.0000000447034836,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.007989672012627125,0.4167760908603668,False,1,3.27726411819458,0,1,4.649656057357788,1.7727641932197002e-07,1,10.366899490356445,3,3,1,1,1,1,1,1,1,1,1,0.05247685185185185,0.12057002314814814,0.0008801118827160494
4.0,4.000000059604645,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.007586815394461155,0.3681296706199646,False,1,3.27726411819458,0,1,4.649656057357788,2.9035058446424955e-07,1,10.366899490356445,3,1,1,1,1,1,1,1,1,1,1,0.05079619984567901,0.12934944058641976,0.0008801118827160494
5.0,5.000000074505806,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.006881822366267443,0.35810378193855286,False,1,3.283329486846924,0.06955312192440033,1,4.765016317367554,0.8805691003799438,1,10.366899490356445,1,1,1,1,1,1,1,1,1,1,2,0.05332465277777778,0.11742332175925926,0.0008801118827160494
6.0,6.000000089406967,"Location(x=-72.962585, y=13.072621, z=0.001679)",0,0,0.0,0.003457655431702733,0.0,False,1,4.750599384307861,2.7791171073913574,1,7.718722105026245,3.2564783096313477,1,10.366899490356445,1,1,1,1,1,1,1,1,1,2,2,0.02597800925925926,0.06665846836419753,0.000931712962962963
7.0,7.000000104308128,"Location(x=-73.267143, y=13.082454, z=0.001515)",3.171762466430664,1.2089009284973145,0.46758678555488586,0.013562843203544617,0.0,False,1,8.364492893218994,4.373561859130859,1,11.48308253288269,3.945937395095825,1,10.062484741210938,1,1,1,1,1,1,1,1,2,2,3,0.008244116512345679,0.02475163966049383,0.0015441743827160493
8.0,8.00000011920929,"Location(x=-75.840141, y=13.147603, z=0.001465)",2.749480724334717,3.984524726867676,0.5201501846313477,0.0101718595251441,0.0,False,1,10.006751537322998,4.651184558868408,1,14.780300855636597,8.442441940307617,1,7.491190433502197,1,1,1,1,1,1,1,2,2,3,3,0.008502121913580248,0.017458526234567902,0.0019709683641975307
9.0,9.00000013411045,"Location(x=-80.748825, y=13.235668, z=0.001778)",0.8129668831825256,5.427515029907227,0.4494173526763916,-0.014704428613185883,0.0,False,1,10.330610752105713,5.954042434692383,1,17.944567441940308,7.9520087242126465,1,2.595463275909424,1,1,1,1,1,1,2,2,3,3,3,0.01081838348765432,0.016561535493827162,0.0034972993827160495
10.0,10.000000149011612,"Location(x=-86.568428, y=13.247044, z=0.001804)",0.10724887996912003,6.100401878356934,0.40724417567253113,0.06798163056373596,0.0,False,1,10.775350093841553,6.995046615600586,1,19.93554186820984,8.058680534362793,1,0,1,1,1,1,1,2,2,3,3,3,3,0.008220003858024691,0.019908371913580247,0.0031008873456790124
11.0,11.000000163912773,"Location(x=-92.930244, y=12.196922, z=0.001700)",-0.0889362096786499,6.6415252685546875,0.37310394644737244,0.13351818919181824,0.0,False,1,10.444569110870361,7.614266872406006,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.008741801697530863,0.02790943287037037,0.003400366512345679
12.0,12.000000178813934,"Location(x=-98.876671, y=9.239338, z=0.001844)",0.07328414916992188,6.743810176849365,0.3976173996925354,0.1621285378932953,0.0,False,1,9.9169020652771,7.960995674133301,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0015012538580246914,0.0349561149691358,0.002813946759259259
13.0,13.000000193715096,"Location(x=-103.365936, y=4.133144, z=0.001847)",-0.06718885898590088,6.969625473022461,0.3780527710914612,0.19514353573322296,0.0,False,1,10.725200176239014,7.948306560516357,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.019149305555555555,0.024738136574074074,0.0
14.0,14.000000208616257,"Location(x=-105.168701, y=-2.491678, z=0.001848)",0.16801023483276367,6.946700572967529,0.3829764127731323,0.09810036420822144,0.0,False,1,34.61453866958618,8.014904022216797,1,11.657721996307373,7.966548442840576,0,100,0,0,0,0,0,0,0,0,0,0,0,0.08159047067901234,0.019439621913580247,0.0
15.0,15.000000223517418,"Location(x=-106.078491, y=-9.444042, z=0.001838)",0.01877470314502716,7.065065383911133,0.37310394644737244,0.036438845098018646,0.0,False,1,35.251707553863525,8.023088455200195,1,12.784497737884521,7.970365047454834,0,100,0,0,0,0,0,0,0,0,0,0,0,0.10399980709876543,0.02377507716049383,0.0
16.0,16.00000023841858,"Location(x=-106.642410, y=-16.496939, z=0.001843)",0.016597287729382515,7.100075721740723,0.37310394644737244,0.058915067464113235,0.0,False,1,35.78209161758423,7.638697624206543,1,14.055432796478271,7.961282730102539,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0005155285493827161,0.022243441358024692,0.0
17.0,17.00000025331974,"Location(x=-106.337975, y=-23.653957, z=0.001825)",0.20109859108924866,7.2774271965026855,0.37310394644737244,0.034455765038728714,0.0,False,1,35.39682626724243,6.6854567527771,1,15.25684118270874,7.959702014923096,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0013638117283950616,0.022496624228395063,0.0
18.0,18.0000002682209,"Location(x=-105.423271, y=-30.146528, z=0.002038)",-2.5989720821380615,5.348450660705566,0.0,0.02625725232064724,0.0,False,1,31.291094303131104,0.004411197267472744,1,16.94133710861206,5.777121067047119,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0008969907407407407,0.024596836419753087,0.0001769868827160494
19.0,19.000000283122063,"Location(x=-104.476791, y=-34.483276, z=0.001764)",-1.094265341758728,3.7670810222625732,0.09307808429002762,0.02404027432203293,0.0,False,1,27.322718143463135,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0007653356481481481,0.029037422839506173,0.00015914351851851853
20.0,20.000000298023224,"Location(x=-103.365868, y=-38.160877, z=0.001615)",0.9357285499572754,4.21036958694458,0.32738739252090454,0.06750950962305069,0.0,False,1,24.73211908340454,2.612579107284546,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0011106288580246915,0.02951630015432099,1.8807870370370372e-05
