frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-48.674255, y=46.955269, z=-0.019192)",0,0,0.0,0.0040283421985805035,0.0,False,0,100,0,1,60.738784193992615,4.547616481781006,1,61.131195068359375,1,1,1,1,1,2,2,3,3,3,3,0.045827064043209874,0.26191020447530866,0.00015625
1.0,1.0000000149011612,"Location(x=-48.674255, y=46.955269, z=-0.019192)",0,0,0.28483322262763977,0.0003021240408997983,0.0,False,1,64.98625123500824,4.347349166870117,1,4.883373379707336,7.964605808258057,1,61.131195068359375,1,1,1,1,2,2,3,3,3,3,3,0.04564959490740741,0.2777835648148148,9.500385802469136e-05
2.0,2.0000000298023224,"Location(x=-48.674133, y=46.999275, z=-0.020055)",8.351509094238281,0.4182422161102295,0.5328526496887207,0.00013427734666038305,0.0,False,1,70.91265046596527,8.204734802246094,1,12.64754593372345,7.992667198181152,1,61.117435455322266,1,1,1,2,2,3,3,3,3,3,3,0.04947434413580247,0.0423316936728395,4.243827160493827e-05
3.0,3.0000000447034836,"Location(x=-48.670364, y=48.397919, z=-0.019373)",0.42993882298469543,1.6843392848968506,0.5659327507019043,0.00013427734666038305,0.0,False,1,75.58244264125824,8.123133659362793,1,19.213723301887512,7.988184928894043,1,59.77337646484375,1,1,2,2,3,3,3,3,3,3,3,0.0024701003086419755,0.017570408950617285,2.845293209876543e-05
4.0,4.000000059604645,"Location(x=-48.662292, y=50.215351, z=-0.019176)",-0.05244093015789986,1.8351073265075684,0.4898291230201721,-0.00214844080619514,0.0,False,1,80.84901654720306,8.013711929321289,1,25.34873878955841,7.988815784454346,1,57.962772369384766,1,2,2,3,3,3,3,3,3,3,3,0.0001326195987654321,0.01005883487654321,4.147376543209877e-05
5.0,5.000000074505806,"Location(x=-48.650784, y=51.990238, z=-0.019282)",0.3141370713710785,1.958683967590332,0.6018593907356262,-0.00214844080619514,0.0,False,1,81.24451673030853,8.019165992736816,1,31.362395405769348,7.524392127990723,1,56.0961799621582,1,2,2,3,3,3,3,3,3,3,3,0.00019386574074074073,0.006701871141975309,9.596836419753087e-05
6.0,6.000000089406967,"Location(x=-48.632538, y=54.231956, z=-0.019296)",0.26172176003456116,2.274867296218872,0.6018593907356262,0.0016113294987007976,0.0,False,1,80.49442517757416,7.9372406005859375,1,36.25899803638458,6.573324203491211,1,53.96855163574219,2,3,3,3,3,3,3,3,3,3,3,0.0002734375,0.005127314814814815,0.00010416666666666667
7.0,7.000000104308128,"Location(x=-48.625809, y=56.640755, z=-0.019276)",0.2134554386138916,2.509437322616577,0.6018593907356262,0.0011749273398891091,0.0,False,1,78.57840192317963,6.837740421295166,1,39.99236214160919,5.7274885177612305,1,51.571407318115234,2,3,3,3,3,3,3,3,3,3,3,0.00031201774691358024,0.004348958333333333,9.259259259259259e-05
8.0,8.00000011920929,"Location(x=-48.617645, y=59.125072, z=-0.019263)",0.1760999709367752,2.702695608139038,0.6018593907356262,-0.004397611133754253,0.0,False,0,100,0,1,38.930956959724426,0.02279301919043064,1,48.96128463745117,3,3,3,3,3,3,3,3,3,3,3,0.00032407407407407406,0.0045640432098765435,0.00012393904320987653
9.0,9.00000013411045,"Location(x=-48.591282, y=61.910683, z=-0.019251)",0.14536342024803162,2.862163543701172,0.6018593907356262,-0.0032562371343374252,0.0,False,0,100,0,1,36.152602314949036,0.003160102991387248,1,46.17562484741211,3,3,3,3,3,3,3,3,3,3,3,0.0003940007716049383,0.005416666666666667,9.789737654320988e-05
10.0,10.000000149011612,"Location(x=-48.562454, y=64.991089, z=-0.019240)",0.11985713243484497,2.99369740486145,0.6018593907356262,0.0010406498331576586,0.0,False,0,100,0,1,33.2352591753006,0.0,1,43.245033264160156,3,3,3,3,3,3,3,3,3,3,1,0.000548804012345679,0.006890914351851852,0.00015383873456790124
